Rank,Player,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,David Johnson,ARI,RB1,8,1,3,1.2,0.4,1,0
2,Le'Veon Bell,PIT,RB2,9,1,3,1.8,0.4,2,0
3,Antonio Brown,PIT,WR1,9,2,7,3.6,0.8,3,0
4,Odell Beckham Jr.,NYG,WR2,8,3,12,5.5,1.6,6,2
5,LeSean McCoy,BUF,RB3,6,2,15,5.6,2.5,5,0
6,Julio Jones,ATL,WR3,5,3,14,5.8,2.1,4,-2
7,Melvin Gordon,LAC,RB4,9,3,19,8.1,3.1,9,2
8,A.J. Green,CIN,WR4,6,4,16,9.3,2.4,10,2
9,Mike Evans,TB,WR5,11,3,19,9.4,2.7,7,-2
10,Devonta Freeman,ATL,RB5,5,3,27,9.9,3.3,8,-2
11,Jordy Nelson,GB,WR6,8,5,21,11.4,2.9,13,2
12,Jay Ajayi,MIA,RB6,11,3,27,12.8,3.9,15,3
13,Jordan Howard,CHI,RB7,9,6,24,12.9,3.6,14,1
14,DeMarco Murray,TEN,RB8,8,6,30,13.6,3.8,12,-2
15,Michael Thomas,NO,WR7,5,8,21,14.8,2.8,16,1
16,Dez Bryant,DAL,WR8,6,10,37,18.1,4,18,2
17,T.Y. Hilton,IND,WR9,11,9,36,18.8,4.3,22,5
18,Todd Gurley,LAR,RB9,8,10,46,18.9,4.9,21,3
19,Leonard Fournette,JAC,RB10,8,11,61,20.6,7.9,19,0
20,Amari Cooper,OAK,WR10,10,12,38,22.4,4.5,24,4
21,Doug Baldwin,SEA,WR11,6,15,53,23.4,6.3,27,6
22,Rob Gronkowski,NE,TE1,9,10,64,24.4,8.3,20,-2
23,Ezekiel Elliott,DAL,RB11,6,3,62,25.4,10.7,11,-12
24,Lamar Miller,HOU,RB12,7,11,53,26.1,8,26,2
25,Isaiah Crowell,CLE,RB13,9,8,50,26.4,7.3,30,5
26,DeAndre Hopkins,HOU,WR12,7,17,44,28.7,6.4,29,3
27,Brandin Cooks,NE,WR13,9,17,55,29.1,8.3,28,1
28,Demaryius Thomas,DEN,WR14,5,18,63,31.1,7.8,33,5
29,Aaron Rodgers,GB,QB1,8,9,50,33.5,5.6,17,-12
30,Marshawn Lynch,OAK,RB14,10,16,113,34.4,16.4,25,-5
31,Carlos Hyde,SF,RB15,11,15,65,34.9,10.3,37,6
32,Allen Robinson,JAC,WR15,8,19,60,35.2,8.6,40,8
33,Terrelle Pryor,WAS,WR16,5,18,86,36.2,10.4,34,1
34,Alshon Jeffery,PHI,WR17,10,20,65,36.5,8.5,38,4
35,Tom Brady,NE,QB2,9,8,73,37.7,8.1,23,-12
36,Travis Kelce,KC,TE2,10,22,64,38.7,7.9,35,-1
37,Davante Adams,GB,WR18,8,21,74,40.3,10.4,46,9
38,Joe Mixon,CIN,RB16,6,17,137,41.5,18.2,36,-2
39,Drew Brees,NO,QB3,5,19,71,41.8,7,32,-7
40,Keenan Allen,LAC,WR19,9,19,80,41.9,11.1,42,2
41,Michael Crabtree,OAK,WR20,10,28,90,43.9,10,51,10
42,Ty Montgomery,GB,RB17,8,14,152,44,17.4,44,2
43,Dalvin Cook,MIN,RB18,9,14,113,44.3,18.2,43,0
44,Christian McCaffrey,CAR,RB19,11,24,112,46.9,17.4,31,-13
45,Spencer Ware,KC,RB20,10,23,88,48.7,15.6,41,-4
46,Sammy Watkins,LAR,WR21,8,22,96,49.7,13.2,47,1
47,Mark Ingram,NO,RB21,5,23,90,50.5,13.7,53,6
48,C.J. Anderson,DEN,RB22,5,26,113,51.1,14.4,50,2
49,Golden Tate,DET,WR22,7,30,95,52.7,12.9,59,10
50,Greg Olsen,CAR,TE3,11,34,83,54.1,8.4,45,-5
51,Larry Fitzgerald,ARI,WR23,8,26,101,55.1,13,69,18
