Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
1,David Johnson,ARI,8,RB1,,1,1,1,1,1,1
2,Le'Veon Bell,PIT,9,RB2,,2,2,2,2,2,2
3,Antonio Brown,PIT,9,WR1,,3,3,3,3,3,3
4,Julio Jones,ATL,5,WR2,,4,6,4,5,4,4.6
5,LeSean McCoy,BUF,6,RB3,,5,4,7,6,5,5.4
6,Odell Beckham Jr.,NYG,8,WR3,,7,5,5,4,6,5.4
7,Mike Evans,TB,11,WR4,,9,8,8,7,7,7.8
8,Devonta Freeman,ATL,5,RB4,,6,7,11,8,9,8.2
9,Melvin Gordon,LAC,9,RB5,,11,9,9,9,8,9.2
10,A.J. Green,CIN,6,WR5,,12,10,12,10,10,10.8
11,Ezekiel Elliott,DAL,6,RB6,,10,15,6,12,15,11.6
12,DeMarco Murray,TEN,8,RB7,,14,12,10,11,12,11.8
13,Jordy Nelson,GB,8,WR6,,13,11,14,14,11,12.6
14,Jordan Howard,CHI,9,RB8,,15,13,15,13,14,14
15,Jay Ajayi,MIA,11,RB9,,17,14,13,17,13,14.8
16,Michael Thomas,NO,5,WR7,,18,16,17,15,16,16.4
17,Aaron Rodgers,GB,8,QB1,,8,23,19,16,17,16.6
18,Dez Bryant,DAL,6,WR8,,23,19,16,19,19,19.2
19,Leonard Fournette,JAC,8,RB10,,19,17,23,22,20,20.2
20,Rob Gronkowski,NE,9,TE1,,22,20,21,18,22,20.6
21,Todd Gurley,LAR,8,RB11,,21,18,22,21,21,20.6
22,T.Y. Hilton,IND,11,WR9,,29,24,20,20,18,22.2
23,Tom Brady,NE,9,QB2,,16,29,24,23,24,23.2
24,Amari Cooper,OAK,10,WR10,,26,21,26,24,23,24
25,Marshawn Lynch,OAK,10,RB12,,27,22,18,29,25,24.2
26,Lamar Miller,HOU,7,RB13,,24,25,27,26,27,25.8
27,Doug Baldwin,SEA,6,WR11,,28,28,28,28,26,27.6
28,Brandin Cooks,NE,9,WR12,,36,26,25,27,28,28.4
29,DeAndre Hopkins,HOU,7,WR13,,32,32,29,25,29,29.4
30,Isaiah Crowell,CLE,9,RB14,,31,27,31,32,30,30.2
31,Christian McCaffrey,CAR,11,RB15,,30,31,30,31,32,30.8
32,Drew Brees,NO,5,QB3,,25,43,38,30,39,35
33,Demaryius Thomas,DEN,5,WR14,,45,35,32,35,31,35.6
34,Terrelle Pryor,WAS,5,WR15,,41,30,36,44,34,37
35,Travis Kelce,KC,10,TE2,,35,40,35,40,38,37.6
36,Joe Mixon,CIN,6,RB16,,42,38,33,41,36,38
37,Carlos Hyde,SF,11,RB17,,48,36,34,38,37,38.6
38,Alshon Jeffery,PHI,10,WR16,,51,41,37,34,33,39.2
39,Matt Ryan,ATL,5,QB4,,20,57,40,42,47,41.2
40,Allen Robinson,JAC,8,WR17,,55,45,42,37,35,42.8
41,Spencer Ware,KC,10,RB18,,34,42,50,45,45,43.2
42,Keenan Allen,LAC,9,WR18,,40,37,68,33,40,43.6
43,Dalvin Cook,MIN,9,RB19,,46,33,51,50,44,44.8
44,Ty Montgomery,GB,8,RB20,,39,34,65,51,43,46.4
45,Greg Olsen,CAR,11,TE3,,38,54,44,48,49,46.6
46,Davante Adams,GB,8,WR19,,49,44,61,39,41,46.8
47,Sammy Watkins,LAR,8,WR20,,61,53,46,36,42,47.6
48,Jarvis Landry,MIA,11,WR21,,43,62,43,43,51,48.4
49,Tyreek Hill,KC,10,WR22,,58,39,45,49,54,49
50,C.J. Anderson,DEN,5,RB21,,56,51,39,46,53,49
51,Michael Crabtree,OAK,10,WR23,,50,49,47,47,52,49
52,Jordan Reed,WAS,5,TE4,,54,59,41,57,46,51.4
53,Mark Ingram,NO,5,RB22,,33,60,62,53,50,51.6
54,Julian Edelman,NE,9,WR24,,37,65,60,56,48,53.2
55,Jimmy Graham,SEA,6,TE5,,59,61,49,61,57,57.4
56,Kelvin Benjamin,CAR,11,WR25,,47,50,92,60,60,61.8
57,Martavis Bryant,PIT,9,WR26,,69,46,87,54,56,62.4
58,Russell Wilson,SEA,6,QB5,,60,76,52,72,55,63
59,Golden Tate,DET,7,WR27,,66,63,69,59,61,63.6
60,Tevin Coleman,ATL,5,RB23,,44,75,86,52,65,64.4
61,Mike Gillislee,NE,9,RB24,,64,47,83,71,59,64.8
62,Emmanuel Sanders,DEN,5,WR28,,63,78,59,65,63,65.6
63,Andrew Luck,IND,11,QB6,,65,86,48,76,58,66.6
64,LeGarrette Blount,PHI,10,RB25,,73,52,74,63,76,67.6
65,Tyler Eifert,CIN,6,TE6,,83,68,56,69,64,68
66,Brandon Marshall,NYG,8,WR29,,53,58,96,66,69,68.4
67,Adrian Peterson,NO,5,RB26,,72,48,79,74,75,69.6
68,Bilal Powell,NYJ,11,RB27,,76,67,58,85,62,69.6
69,Larry Fitzgerald,ARI,8,WR30,,78,64,71,70,67,70
70,Delanie Walker,TEN,8,TE7,,62,84,53,87,68,70.8
71,Stefon Diggs,MIN,9,WR31,,71,74,84,55,72,71.2
72,Ameer Abdullah,DET,7,RB28,,84,56,91,58,71,72
73,Frank Gore,IND,11,RB29,,92,77,64,79,70,76.4
74,Cam Newton,CAR,11,QB7,,57,93,57,95,82,76.8
75,Jameis Winston,TB,11,QB8,,52,83,106,64,81,77.2
76,Derek Carr,OAK,10,QB9,,70,72,88,93,66,77.8
77,Eddie Lacy,SEA,6,RB30,,87,71,76,78,80,78.4
78,Paul Perkins,NYG,8,RB31,,75,66,94,75,85,79
79,Doug Martin,TB,11,RB32,,85,55,97,73,87,79.4
80,Kyle Rudolph,MIN,9,TE8,,77,99,67,88,74,81
81,Marcus Mariota,TEN,8,QB10,,81,96,55,99,77,81.6
82,Kirk Cousins,WAS,5,QB11,,68,94,81,92,73,81.6
83,Willie Snead,NO,5,WR32,,90,69,109,68,83,83.8
84,Martellus Bennett,GB,8,TE9,,88,81,93,81,78,84.2
85,Danny Woodhead,BAL,10,RB33,,67,80,102,94,79,84.4
86,Jamison Crowder,WAS,5,WR33,,93,73,95,77,84,84.4
87,Derrick Henry,TEN,8,RB34,,101,70,117,62,89,87.8
88,Donte Moncrief,IND,11,WR34,,107,90,101,67,88,90.6
89,DeSean Jackson,TB,11,WR35,,94,85,85,108,86,91.6
90,Dak Prescott,DAL,6,QB12,,74,120,54,109,106,92.6
91,Robert Kelley,WAS,5,RB35,,99,79,108,90,94,94
92,Eric Decker,TEN,8,WR36,,89,88,111,86,101,95
