Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Aaron Rodgers,GB ,608.9,395.9,"4,438.10",35.4,8.3,60.7,340.2,2.5,3.9,343.9
,high,662,439,"4,594.00",38,6.8,65.9,432,3.5,3.9,411.3
,low,580,374.7,"4,287.90",33,10,54.5,287.3,1.6,3.9,327.9
Tom Brady,NE ,601.8,393,"4,697.40",35.4,8.3,35.5,85.3,1.3,2.8,323.9
,high,615,403,"4,760.00",38.5,8,44,151.4,1.9,2.8,393
,low,582,385,"4,639.00",33,9.1,29,50,1,2.8,320.5
Drew Brees,NO ,647.1,439.3,"4,927.60",33.3,14.4,22.8,45.2,1.3,3.8,306
,high,688,485,"5,130.00",37.4,13,28.1,87.7,1.6,3.8,387.8
,low,610,417,"4,697.00",31,16,17,17,1,3.8,310.2
Matt Ryan,ATL ,559.1,376.6,"4,655.90",32.7,11,34.8,102.2,0.8,2.9,304.2
,high,601.7,397.6,"4,992.00",37.3,10,37.9,115.5,1.4,2.9,358.1
,low,540,364,"4,459.90",30,12.1,33,82,0,2.9,301.6
Russell Wilson,SEA ,536.5,343.2,"4,102.80",26.9,11.8,81.2,378.6,2.1,2.8,293.4
,high,570,370,"4,250.00",29.6,10,85,418.9,3,2.8,362.8
,low,511,328,"3,976.00",26,16,75.3,343.1,1,2.8,283.2
Andrew Luck,IND ,553.7,340.5,"4,040.80",29.2,15.4,62.9,306.1,2.1,3.1,284.7
,high,581,357,"4,075.20",31.5,14,68.9,351,3,3.1,357.1
,low,523,324,"3,956.00",26,19,54,270,1.7,3.1,274.3
Cam Newton,CAR ,528.5,305.6,"3,794.90",24.3,13.5,84.7,408.3,4.8,4.2,283.3
,high,556,312,"4,097.00",26,12,92.3,527.9,5.5,4.2,335.7
,low,511,296,"3,623.00",23,17,67,316,4,4.2,292
Jameis Winston,TB ,573.3,357.1,"4,287.90",28.2,16.1,50,182.6,2.5,3.9,277.8
,high,612,386,"4,566.00",30,14.5,53,212.9,3,3.9,368.4
,low,547.8,341.6,"4,099.50",26.9,18,48,164,2,3.9,267.8
Marcus Mariota,TEN ,516.5,319.7,"3,797.40",26.5,12.4,58.2,330.6,2.1,3.6,271.2
,high,533.9,330,"3,892.20",27,11,63.2,359,2.7,3.6,342.4
,low,492.4,304.4,"3,604.80",26,14.9,51,301.1,1.8,3.6,266.4
Kirk Cousins,WAS ,595.7,385.9,"4,530.30",24.9,13.3,33.4,89.9,2.5,4.4,269.3
,high,618.9,398,"4,727.80",26.4,12,39.5,147.5,4,4.4,327.7
,low,566,365,"4,217.00",24,16,30.6,56.1,1.5,4.4,275
Dak Prescott,DAL ,495.9,319.2,"3,744.30",24.7,9,59.1,276.8,3.1,3.9,269
,high,513,335.2,"3,880.50",27.4,8,68,315,4,3.9,328
,low,485,305.8,"3,674.90",23,10,54.5,216.7,2.2,3.9,268
Matthew Stafford,DET ,588.5,380.7,"4,180.40",25.2,12.4,37.1,158.5,1.8,2.8,264.2
,high,608.8,394,"4,377.10",28.1,11,41,197,2.2,2.8,341.7
,low,555,360,"4,002.00",22,14.8,29.7,117.1,1,2.8,261.1
Ben Roethlisberger,PIT ,551.8,360.1,"4,232.50",29.5,14,22.6,42.5,0.8,2.2,263.5
,high,589,387,"4,409.00",32.1,11.2,25.6,60.8,1.4,2.2,330.9
,low,532,342,"4,025.40",27.2,17,19,26,0,2.2,259.1
Tyrod Taylor,BUF ,451.7,280.8,"3,147.50",19.5,8.9,92.5,553.3,4.4,3.2,261.5
,high,476.2,302.4,"3,403.80",21,7,103,596.4,5.1,3.2,316
,low,432.3,254.6,"3,036.00",18.1,11,81,501,3.9,3.2,265.8
Andy Dalton,CIN ,541.4,346.9,"3,995.30",24.1,11.1,48.6,164.3,2.5,3.7,257.7
,high,559.8,357,"4,103.20",27.9,9,52,196.7,3.3,3.7,331.7
,low,518,338,"3,906.00",21,12.2,43.1,137.7,1.5,3.7,252.9
Philip Rivers,LAC ,584.8,361.1,"4,308.40",30.5,15.7,16.8,40.5,0.2,5.5,257.2
,high,613.8,365,"4,425.00",31.2,14,19,59.5,0.5,5.5,344.2
,low,564,359.3,"4,159.00",29.2,18,15,27,0,5.5,252.9
Derek Carr,OAK ,591,361.9,"4,082.90",27.7,11.1,35.3,86.7,0.6,3.8,256.8
,high,618,376,"4,227.80",28,9.5,39,101.3,1,3.8,325.4
,low,565,354,"3,966.00",26.7,13,31,72.1,0,3.8,259.8
Blake Bortles,JAC ,564.7,329.1,"3,659.30",22.8,15.4,55.8,315.4,2.2,4.4,242.5
,high,595.8,343,"3,850.00",25.6,13.6,65,389,4,4.4,319
,low,539.6,315,"3,527.00",21,17,50,257.6,1,4.4,237.7
Eli Manning,NYG ,592.1,367.7,"4,156.30",27.2,15.2,18.9,30.4,0.2,4.4,240.3
,high,615,390,"4,272.00",29,14,21,48.7,0.8,4.4,319.5
,low,562,348.5,"4,039.70",24,16,14,20,0,4.4,233.3
Carson Wentz,PHI ,582.9,354,"3,861.50",22.3,14.1,46.9,171.4,1.9,3.6,236.8
,high,617,378,"4,267.50",23.7,12.1,50,192.5,2,3.6,316.3
,low,546,335,"3,631.00",21.6,16,41.2,150,1.7,3.6,226.4
Carson Palmer,ARI ,581.9,359.2,"4,139.70",25.2,15.3,16.2,34.9,0.3,4.4,232.6
,high,636,379,"4,343.40",27,12,24,51.1,0.8,4.4,316.6
