Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
David Johnson,ARI ,282.5,"1,198.90",12,75.5,742.3,3.9,3.1,283.3
,high,307.1,"1,309.90",14,83.6,782.2,4.1,3.1,368.5
,low,265,"1,113.00",11,69,675,3.5,3.1,268.8
Le'Veon Bell,PIT ,292.6,"1,340.50",9.4,75.9,619.9,2.4,2.2,262.3
,high,310,"1,398.60",10,85,712.9,3.8,2.2,368.6
,low,270,"1,215.00",8,60,496,1.8,2.2,242.2
LeSean McCoy,BUF ,244.3,"1,188.30",9.3,47.1,364.9,1.8,1,219.7
,high,259.5,"1,261.90",11,52,416.5,2,1,264.4
,low,230,"1,072.00",7.4,40,326,1.5,1,209.7
Devonta Freeman,ATL ,219.3,968.2,8.9,55.4,484.8,2.7,1.8,211
,high,232,"1,045.00",9.5,59,565,3.3,1.8,259.6
,low,202.3,858.9,8,52.2,446.9,2,1.8,205.9
Melvin Gordon,LAC ,273,"1,095.50",8.1,46.6,399.9,1.9,3.8,202
,high,295.7,"1,196.60",9,49,442,2,3.8,245.9
,low,260,"1,040.00",6.9,42.6,341.3,1.7,3.8,203.3
Jordan Howard,CHI ,266,"1,234.00",7,35.7,311.4,1.4,1.6,201.9
,high,273.4,"1,245.50",8,41,362.1,2,1.6,236.7
,low,254,"1,220.60",6.6,31.8,258.8,1,1.6,200.7
Jay Ajayi,MIA ,264.7,"1,191.20",8.3,35.2,248.2,1.3,1.3,199.2
,high,295.3,"1,306.20",9,45.2,318.4,2,1.3,240.4
,low,246.1,"1,130.80",7.7,29,199,0.8,1.3,185.5
DeMarco Murray,TEN ,248.4,"1,073.90",7.5,44.5,321.1,2.1,1.8,193.4
,high,275.6,"1,215.00",9.8,52,372,2.5,1.8,239.7
,low,230,987,5.7,41,300.4,1.8,1.8,183.5
Todd Gurley,LAR ,275.6,"1,044.40",7.9,38.6,296.5,1,1.4,184.8
,high,291.6,"1,126.80",8.5,44,333.8,1.4,1.4,246.7
,low,267,944,7,35,273.5,0.5,1.4,175.4
Lamar Miller,HOU ,261.9,"1,063.60",6.5,36,262.4,1.4,1.6,176.4
,high,272.4,"1,120.00",7,38.1,303.8,2,1.6,216.5
,low,253,971,5.8,32,235,1,1.6,163.9
Leonard Fournette,JAC ,239,"1,042.20",7.1,30.4,228,1.2,1.8,173.4
,high,277.5,"1,236.70",8.5,33,261,2,1.8,230.9
,low,207.4,895.1,6.3,27,183,0.8,1.8,151.6
Ezekiel Elliott,DAL ,199.7,961.2,7.1,25.7,243.4,1,0.9,167.1
,high,217,"1,077.00",7.3,31.6,301.9,1.2,0.9,192.3
,low,191.5,916.2,7,21,216,0.6,0.9,163.6
Isaiah Crowell,CLE ,215.2,921.7,6.1,37.1,296.5,0.6,1.6,159.2
,high,228.5,"1,015.00",7.3,43.5,341.5,1,1.6,213.1
,low,194,855,4.8,28,245,0,1.6,146
Marshawn Lynch,OAK ,196.1,821.5,7.9,32.1,239.8,1.1,1.3,157.1
,high,222.3,966.4,9,36.8,296.6,1.4,1.3,215
,low,174.4,703.3,5.4,28,183,0.8,1.3,137.5
Spencer Ware,KC ,199.8,850.4,6.1,32.3,297.7,1.3,4.1,150.9
,high,210,878,8,37.3,390,2.1,4.1,180
,low,186.8,824,4.9,27,233.9,1,4.1,148.9
Dalvin Cook,MIN ,183.9,773.6,6,37.5,295.1,1.5,1.6,149.1
,high,199,842.9,7.5,45,307,2,1.6,181.6
,low,148.2,627.1,4.7,32,267,0.9,1.6,124.8
Ty Montgomery,GB ,154.5,728.4,5.1,44.9,362.2,1.9,1.5,148.1
,high,168,803,6,50,392,2.8,1.5,191.8
,low,140,664.3,3.8,40,332,0.9,1.5,143
Christian McCaffrey,CAR ,153.1,682.6,4.4,49.6,429.7,2.3,1.7,147.7
,high,193,863,6.7,53,478,3,1.7,201.1
,low,127,546,3,47,351.7,1.9,1.7,131.1
Mark Ingram,NO ,168.4,752.6,5.4,42.2,318,2.2,2.5,147.4
,high,190,865,6.5,52,367,2.7,2.5,187.6
,low,138,649.7,5,33.7,288,2,2.5,135.4
Joe Mixon,CIN ,184.3,767.9,6.2,34.6,274.1,1,1.5,144.2
,high,203,875,7.4,48,377.5,1.1,1.5,180.8
,low,156.4,596.1,5,28,217,0.9,1.5,136
Bilal Powell,NYJ ,156.2,714,4.1,51.9,377.8,1.8,1.2,142.2
,high,173,815,6,60,417,2,1.2,191
,low,138.2,631,2.9,39.7,279.7,1.3,1.2,134.2
Carlos Hyde,SF ,213.4,907.5,5.8,26.5,180.8,1.3,5.5,140.3
,high,232.9,966.4,6.6,34.2,256.8,2,5.5,195.9
,low,190,854,5,22,128.4,1,5.5,141.2
Frank Gore,IND ,206.9,799.5,4.8,29.8,231.3,1.6,2,137.8
,high,233.9,949.4,6.2,34.3,283.5,2.1,2,190.8
,low,183,681,3.2,27,197,1,2,119.6
Tevin Coleman,ATL ,129.3,566,5.1,35.6,364.5,2.6,1.3,136.3
,high,152,648,6.5,41,431,4,1.3,170.9
,low,106,477,3.7,32,312.7,2,1.3,126.3
Paul Perkins,NYG ,205.3,835.7,4.2,25.8,222.4,1,1.5,133.8
,high,238.8,972,6,29,311,1,1.5,169.5
,low,155,629,3.2,21,164,0.9,1.5,109.3
Terrance West,BAL ,188.1,753.3,5.1,32.3,228.5,1.1,1,133
,high,220,891,6,36,252,1.4,1,181.3
,low,152.6,587.1,3.9,28,186,0.8,1,107.1
Mike Gillislee,NE ,164.7,772.3,7.5,13.8,106.6,0.4,1.4,132.7
,high,192,914,9,22.8,161.6,1.2,1.4,164.9
,low,142.3,668,5.8,7,60,0,1.4,120.8
Ameer Abdullah,DET ,166.2,699.6,4.2,33,279.8,2,1.9,131.3
,high,193.4,820.9,5.1,37.3,333.8,2.3,1.9,177.1
,low,145,625,3,29,251,1.7,1.9,119.1
C.J. Anderson,DEN ,175.9,746.2,4.8,28.6,221.9,1,1.8,127.8
,high,190,835,5.3,32,247,1.1,1.8,158.6
,low,165,673,4.1,22,166,0.8,1.8,127.9
Eddie Lacy,SEA ,176.2,774.8,5.1,19.4,155.7,0.9,1.1,126.9
,high,204,898.4,6.1,22.8,174,1,1.1,157.6
,low,146,679,3.6,15,124.8,0.7,1.1,109.1
Robert Kelley,WAS ,188.6,783.3,5.9,16.3,124.6,0.4,1.5,125.2
,high,209.7,866,7,21,164,0.9,1.5,154.1
,low,163.5,671.5,5,10,72,0,1.5,115.1
Danny Woodhead,BAL ,89.7,379,2.6,61,491.8,2.9,1,118.1
,high,116,501,3,70,535.9,3.9,1,180.8
,low,77,316,2,52,385,2,1,94.1
Matt Forte,NYJ ,149.6,611,3.7,31.6,258,1.4,1.7,113.8
,high,165,700.3,4,42.1,350.6,2,1.7,165.6
,low,117,461,2.7,26.9,213.6,1,1.7,96.8
Theo Riddick,DET ,83.9,325.9,2,62.5,496.7,3.4,0.9,112.7
,high,98,406.2,2.9,75,582,3.7,0.9,184.4
,low,68.8,250,1,52,431,3,0.9,103.4
Doug Martin,TB ,176.4,697.3,4.6,20.3,161.4,0.8,3.4,111.3
,high,190,741,5,23,187,1,3.4,134
,low,163.8,621.6,4,17.1,132.5,0.5,3.4,105.1
Jonathan Stewart,CAR ,176.3,720.8,5.4,11.8,90,0.5,3.5,109.6
,high,194,775,6.3,13,108,1,3.5,135.9
,low,163.6,664.3,4.5,10,72,0,3.5,101.3
LeGarrette Blount,PHI ,175.5,707.9,5.9,9.5,60.7,0.2,1.9,109.5
,high,194.2,799.8,7.3,17,100,0.6,1.9,139.8
