Player,Team,REC,YDS,TDS,FL,FPTS
Rob Gronkowski,NE ,68.2,991.6,9.2,0.3,153.6
,high,72,"1,030.00",11.3,0.3,223.6
,low,65,910,7.4,0.3,135.4
Greg Olsen,CAR ,77.4,"1,007.20",5.6,0.3,133.8
,high,81,"1,063.90",6.4,0.3,225.3
,low,68,936,4.3,0.3,119.4
Travis Kelce,KC ,80.6,"1,012.60",5.4,0.8,132.2
,high,84,"1,075.00",7,0.8,215.5
,low,73,947,3.8,0.8,117.5
Jordan Reed,WAS ,77.9,851.5,6.7,2.4,120.7
,high,83.8,925,7.2,2.4,213.2
,low,72,795,6.1,2.4,116.1
Jimmy Graham,SEA ,63.7,814,6.5,1.9,116.8
,high,67,875,7,1.9,169.7
,low,58.3,728.6,5.9,1.9,111.1
Kyle Rudolph,MIN ,75.3,758.7,5.8,0.3,110
,high,76.2,816.5,6.6,0.3,190.3
,low,74.4,726,4.9,0.3,106.6
Tyler Eifert,CIN ,56.7,712.6,6.4,0.3,108.8
,high,59,878,7.3,0.3,149.8
,low,54,619.1,5.2,0.3,97.7
Zach Ertz,PHI ,73.5,778.2,4.6,0.4,104.6
,high,76,812.3,5,0.4,168.3
,low,70,728.6,4.2,0.4,105.1
Delanie Walker,TEN ,61,729.5,5.4,0.3,104.5
,high,64,778.6,6.2,0.3,164.6
,low,55,641,3.9,0.3,87.5
Martellus Bennett,GB ,60.5,664.9,6.1,0.3,102.7
,high,66,717.2,7,0.3,154.6
,low,54,609.5,5.8,0.3,101.3
Eric Ebron,DET ,63.3,721.8,4.2,0.2,96.7
,high,70,793,5,0.2,156.1
,low,59,684,3.6,0.2,92.4
Hunter Henry,LAC ,49.9,624,6.2,1.4,96.7
,high,55,704,7,1.4,147.5
,low,42,552,4.7,1.4,86.4
Coby Fleener,NO ,51.3,614.6,4.5,0.3,87.6
,high,55,639,5.9,0.3,139.6
,low,47.6,569.3,2.8,0.3,80.7
Jack Doyle,IND ,58.6,588.5,5.2,1.4,87.2
,high,67.6,613,6,1.4,149.3
,low,51,543,3.7,1.4,76.5
Jason Witten,DAL ,64.8,637.8,3.9,1.6,83.7
,high,71,685,4.7,1.6,160.6
,low,58,582,3.1,1.6,80.5
Austin Hooper,ATL ,42.5,516.2,4.9,0.2,80.8
,high,48.1,570.1,5.9,0.2,140.8
,low,36.3,475,4,0.2,71.5
Cameron Brate,TB ,46.3,534.8,4.6,0.3,80.7
,high,50.8,552.5,5,0.3,136.1
,low,43.9,500,4,0.3,78.5
C.J. Fiedorowicz,HOU ,52.3,545.3,3.8,0.5,76.3
,high,58.1,637.1,4.1,0.5,146
,low,47,472,3.2,0.5,69.4
Jared Cook,OAK ,48.3,559.1,4,2,76
