Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Julio Jones,ATL ,0,0.3,0,98.5,"1,492.20",9.1,0.4,202.9
,high,0.1,0.9,0,107,"1,668.00",10.8,0.4,284.1
,low,0,0,0,92.7,"1,358.40",7.4,0.4,200.1
Antonio Brown,PIT ,3.2,17.8,0,109.9,"1,414.70",10.1,0.8,202.4
,high,4,22.3,0.1,112.8,"1,444.40",13,0.8,302.2
,low,2.6,15,0,107.7,"1,388.00",7.6,0.8,191.7
Odell Beckham Jr.,NYG ,0.5,3.3,0,96.4,"1,320.80",9.7,1,188.6
,high,1,7,0,100,"1,420.00",12,1,276.5
,low,0,0,0,88,"1,130.00",6.5,1,152
Jordy Nelson,GB ,0,0,0,91.8,"1,232.80",10.6,1.3,184.5
,high,0,0,0,98,"1,276.50",11,1.3,279.4
,low,0,0,0,86,"1,191.00",9.9,1.3,180.9
Mike Evans,TB ,0,0,0,89.9,"1,286.60",9.3,0.3,183.8
,high,0,0,0,92,"1,350.00",11,0.3,260.2
,low,0,0,0,86.8,"1,202.10",7.4,0.3,168.9
A.J. Green,CIN ,0,0,0,89.5,"1,260.40",7.9,0.5,172.5
,high,0,0,0,96.1,"1,376.00",9.8,0.5,273.1
,low,0,0,0,80,"1,148.00",6.2,0.5,152
Michael Thomas,NO ,0,0,0,94.6,"1,192.00",8.1,0.3,167.3
,high,0,0,0,97,"1,265.00",9,0.3,258.7
,low,0,0,0,90.9,"1,082.30",7.6,0.3,154.3
T.Y. Hilton,IND ,0,0,0,81.9,"1,242.10",6.8,0.3,164.5
,high,0,0,0,85.6,"1,318.00",8.1,0.3,258.2
,low,0,0,0,74,"1,050.00",4.6,0.3,132.6
Doug Baldwin,SEA ,2.7,15.2,0.2,87.6,"1,101.70",8.4,0.2,162.6
,high,4.1,25.7,0.5,93,"1,118.00",9.5,0.2,238.9
,low,2,8,0,84.3,"1,086.90",6.7,0.2,158.2
Amari Cooper,OAK ,2,10.7,0,83.7,"1,155.90",6.7,0.4,156.4
,high,4,25.4,0.1,89.5,"1,233.00",8,0.4,228.7
,low,1,0.8,0,78,"1,103.00",5.5,0.4,143.3
Dez Bryant,DAL ,0,0,0,71.7,"1,059.30",8.7,1.6,154.8
,high,0,0,0,76,"1,219.30",10,1.6,215.1
,low,0,0,0,67,916,7.7,1.6,141.4
Allen Robinson,JAC ,0,0,0,76.2,"1,027.30",7.1,0.4,144.7
,high,0,0,0,82,"1,095.70",8,0.4,210.6
,low,0,0,0,72,880,6.7,0.4,129.4
DeAndre Hopkins,HOU ,0,0,0,82.6,"1,092.90",5.9,0.3,143.9
,high,0,0,0,87.1,"1,216.40",7,0.3,229
,low,0,0,0,78,899,5.4,0.3,122.3
Brandin Cooks,NE ,3.7,21.1,0.1,72.9,"1,008.80",6.6,0.3,142.6
,high,4.3,26.5,0.2,80.9,"1,127.60",7,0.3,223
,low,2.9,14.8,0,63,884,6.1,0.3,125
Michael Crabtree,OAK ,0,0,0,83.8,980.9,7.3,0.3,141.4
,high,0,0,0,86.2,"1,070.20",8,0.3,226.1
,low,0,0,0,80,906,7,0.3,133.8
Alshon Jeffery,PHI ,0.3,2.7,0,74.5,"1,025.10",5.9,0.3,137.7
,high,1,8,0,88,"1,073.00",7.7,0.3,215.8
,low,0,0,0,63,979,4.3,0.3,127.6
Kelvin Benjamin,CAR ,0,-0.2,0,68.1,966.1,6.6,1.4,133.5
,high,0.1,0,0,74,985,7.1,1.4,204.6
,low,0,-0.6,0,64,945,5.3,1.4,128.5
Terrelle Pryor,WAS ,1.9,11.3,0,69,987.8,5.5,0.4,132.6
,high,3.3,20.7,0.1,76.5,"1,108.00",6.4,0.4,225.4
,low,1,6,0,62,849,4.9,0.4,115.5
Larry Fitzgerald,ARI ,0.2,0.4,0,92.3,992.1,6,1.6,132.2
,high,0.6,1.1,0,96.9,"1,068.40",7,1.6,224.1
,low,0,0,0,89.7,933,5.6,1.6,126.9
Demaryius Thomas,DEN ,0,0.3,0,80.9,"1,017.10",5.9,2.8,131.7
,high,0.1,1,0,89,"1,130.00",8,2.8,227.8
,low,0,0,0,56,694,3.2,2.8,88.6
Golden Tate,DET ,6.8,32.7,0.1,88.7,"1,003.60",5.1,1.5,131.7
,high,9.8,55.2,0.2,93.6,"1,067.20",5.5,1.5,221.5
,low,3.6,12.9,0,84.8,934,4.5,1.5,120.4
Davante Adams,GB ,0.4,2.1,0,70.5,899.1,7.2,1,131.2
,high,1,6,0,81,979,8.3,1,207
,low,0,0,0,65,852.2,6,1,124.4
Tyreek Hill,KC ,25.4,159.5,1.3,71.8,775.2,5.2,1.5,129.8
