Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Alexander, Kwon",TBB,LB,103,39.7,2.8,9.6,0.6,1.4,1.3,0.1,139.2
2,"Collins, Landon",NYG,DB,97,30.4,3.9,12,2.7,0.5,0.5,0.2,134.4
3,"Ogletree, Alec",LAR,LB,94.3,45.6,1.2,8.4,2,0.6,0.6,0.2,131.9
4,"Wagner, Bobby",SEA,LB,83,73.1,2.8,4.3,0.5,0.9,0.9,0.2,129.4
5,"Kuechly, Luke",CAR,LB,85,44.8,1.6,9.8,3.7,1.5,1.2,0.3,128.9
6,"Smith, Telvin",JAC,LB,101.5,21.7,1,8.3,2.6,0.5,0.5,0.2,127.9
7,"Brown, Zach",WAS,LB,94,39.7,3.3,6.4,1.3,0.3,0.3,0,126.7
8,"Collins, Jamie",CLE,LB,91,38.8,3.2,2.6,1,2,0,0,120.1
9,"Freeman, Jerrell",CHI,LB,95.9,27.2,4.2,4.3,0.4,0.9,0,0.1,119.7
10,"Mosley, C.J.",BAL,LB,77,50,2,8.3,2.5,0.6,0.6,0.2,118.5
11,"Jones, Deion",ATL,LB,78.6,34.4,0,13.1,3.2,2.3,0.2,0.2,117.8
12,"Davis, Jarrad",DET,LB,93,33,0.6,5.6,0.4,0.8,0.4,0,117.8
13,"Brown, Jatavis",LAC,LB,92,22.5,4.1,5.6,0.6,2.4,0.9,0,117.5
14,"Burfict, Vontaze",CIN,LB,82.6,34.3,2.2,8.9,2.2,1.1,0,0,116.4
15,"David, Lavonte",TBB,LB,79.8,29.1,6,5.3,1.6,3.4,2.9,0.2,115.1
16,"Bowman, Navorro",SFO,LB,89,28.1,2.5,2.7,1,1.6,0.6,0,112.3
17,"Brown, Preston",BUF,LB,75.7,59.2,0.6,2.5,0.9,0.6,0.6,0.2,111.6
18,"McKinney, Benardrick",HOU,LB,76,51.8,4.7,3.8,0,0.2,0.2,0,110.8
19,"Jackson, Edwin",IND,LB,83.6,38,3.3,2.9,0.6,0.3,0.3,0.2,110.6
20,"Kendricks, Eric",MIN,LB,78.9,38.2,2.1,6.7,0.9,0.9,0.9,0.2,110.5
21,"Cravens, Su'a",WAS,DB,77,26.5,1.3,11,2.1,2.9,0.9,0,110.4
22,"Hicks, Jordan",PHI,LB,72,29.6,1.4,10.3,5.9,0,0,0.2,110.3
23,"Alonso, Kiko",MIA,LB,75,52,0,3.7,1.7,0.9,0.9,0.2,109.9
24,"Jack, Myles",JAC,LB,84,34.7,1.4,5.5,0.4,0,0,0,108.9
25,"Mack, Khalil",OAK,LB,83,18.4,9.5,2.5,0.4,3,0,0,108.1
26,"Barron, Mark",LAR,LB,82,28.6,1.1,6.9,1.3,0.4,0.4,0,107.6
27,"Burnett, Morgan",GBP,DB,74,20.1,2.8,11.4,3.8,0.5,0.5,0,106.7
28,"Johnson, Derrick",KCC,LB,84,24.9,1.5,4.6,1.4,0.6,0.5,0.2,106.4
29,"Williams, Vince",PIT,LB,73,34.7,8.2,1.7,0.8,3.1,0.6,0,105.5
30,"Davis, Thomas",CAR,LB,71,34.1,3.1,4.4,2.7,1.6,1.6,0.1,104.2
31,"Goodson, B.J.",NYG,LB,77,31.3,1.7,3.8,0.8,3,0.4,0,103.2
32,"Cyprien, Johnathan",TEN,DB,77,19.3,0.6,11,1.7,0.6,0.6,0,102.9
33,"Williamson, Avery",TEN,LB,77,38.1,2.9,1,1,0.8,0,0,102.8
34,"Vaccaro, Kenny",NOR,DB,74,26.9,1.8,5.9,1.9,2.2,1.1,0,102.2
35,"Church, Barry",JAC,DB,75,26.6,0.5,8.1,1.9,1.1,0.3,0.2,102.2
36,"Lee, Sean",DAL,LB,78.2,43.7,0.7,1,0,0,0,0,101.8
37,"Miller, Von",DEN,LB,68.7,16.8,12.8,4.6,0.9,4.2,0.7,0.2,101.2
38,"Joseph, Karl",OAK,DB,71.6,17.6,0,12.4,3.5,0.2,0.2,0,100.1
39,"Lee, Darron",NYJ,LB,75,39.4,2.4,3.1,0,0,0,0,100.1
40,"Timmons, Lawrence",MIA,LB,70.8,39.5,1.2,3.9,2.1,0.3,0,0,100.1
41,"Trevathan, Danny",CHI,LB,79.1,22.9,1.5,6,0.6,0.2,0.2,0.2,99.7
42,"Perryman, Denzel",LAC,LB,79.4,22.1,3,2.1,0.6,1.3,0.3,0,98.3
43,"Wright, K.J.",SEA,LB,65,48.1,2.6,3.3,0,1.8,1.1,0,97.8
44,"Bethea, Antoine",ARZ,DB,78,12.9,0.5,5.8,2.5,1,1,0.1,97.7
45,"Bucannon, Deone",ARZ,LB,76,30.2,0.1,4.3,0,1.1,1.1,0,97.6
46,"Smith, Harrison",MIN,DB,77,21.9,2,3.8,1,0.5,0.5,0.2,96.7
47,"Weddle, Eric",BAL,DB,55,39.6,0.6,12.8,3.5,0.9,0.4,0,96.6
48,"Martinez, Blake",GBP,LB,73,23.9,4.1,4.7,0.7,0.6,0.6,0,96.3
49,"Shazier, Ryan",PIT,LB,59.7,30.3,3.1,8,3.6,1.9,0.6,0,95.6
50,"Davis, Sean",PIT,DB,67,22,4.4,8.3,2.2,0.2,0.2,0,95.5
51,"Neal, Keanu",ATL,DB,71.2,25.1,0.3,6.6,0.3,2.8,1.1,0,95.4
52,"Jefferson, Tony",BAL,DB,70,21.3,1.4,8.3,0.8,1.3,0.6,0,93.9
53,"Clinton-Dix, Hasean",GBP,DB,67.5,15.3,1,10,3.4,0.7,0.2,0,93.9
54,"Hyde, Micah",BUF,DB,63,18.8,0.6,13,3.6,0,0,0.2,93.2
55,"Coleman, Kurt",CAR,DB,59,29.2,1,8.2,4.7,0.5,0.2,0.2,92.9
56,"Bradham, Nigel",PHI,LB,66,28.9,2.4,5.5,0.6,2.5,0.6,0,92.7
